State,LILATracts_halfAnd10_flag,LILATracts_1And10_flag,LILATracts_1And20_flag,LILATracts_Vehicle_flag
Alabama,15,10,0,10
Alaska,10,10,8,9
Arizona,7,3,0,2
Arkansas,22,18,2,9
California,13,2,1,2
Colorado,25,19,7,8
Connecticut,0,0,0,0
Delaware,0,0,0,0
District of Columbia,0,0,0,0
Florida,10,9,1,9
Georgia,30,21,8,34
Hawaii,0,0,0,0
Idaho,9,6,2,2
Illinois,21,10,1,3
Indiana,11,0,0,0
Iowa,4,1,0,1
Kansas,26,16,5,0
Kentucky,3,3,0,34
Louisiana,17,9,3,6
Maine,0,0,0,0
Maryland,2,1,0,0
Massachusetts,0,0,0,0
Michigan,5,3,1,2
Minnesota,18,13,2,1
Mississippi,31,23,4,22
Missouri,33,26,0,13
Montana,13,12,8,8
Nebraska,13,11,6,7
Nevada,3,3,2,1
New Hampshire,0,0,0,0
New Jersey,0,0,0,0
New Mexico,17,14,13,12
New York,2,2,1,2
North Carolina,7,5,1,17
North Dakota,6,6,3,4
Ohio,6,2,0,6
Oklahoma,15,10,1,3
Oregon,9,6,5,4
Pennsylvania,2,1,0,2
Rhode Island,0,0,0,0
South Carolina,2,1,0,14
South Dakota,15,12,6,6
Tennessee,6,4,3,4
Texas,70,49,29,15
Utah,4,3,2,3
Vermont,0,0,0,0
Virginia,42,24,11,25
Washington,10,5,0,0
West Virginia,6,5,1,9
Wisconsin,4,4,0,0
Wyoming,3,2,0,0
